"name","date","url","message","message_zh","country","continente","ai","a","ID"
"Daily Maverick",2021-08-11,"https://www.facebook.com/171090380838/posts/10160333987155839","While the People’s Republic of China is instituting radical measures to clean up its own environment, its Belt and Road Initiative is wreaking unprecedented havoc on biodiversity and ecosystems throughout the developing world. Which of the superpower’s projects are causing the most damage in Africa and what can be done to halt the devastation? Our Burning Planet’s Kevin Bloom speaks to globally acclaimed conservationist William Laurance and frontline environmental activist Pooven Moodley to find out. Register for this webinar via the link in bio.","尽管中华人民共和国正在制定激进措施以清理自己的环境，但其腰带和道路倡议正在对整个发展中国家的生物多样性和生态系统造成前所未有的破坏。超级大国的哪个项目在非洲造成了最大的损害，如何制止破坏？我们燃烧的星球的凯文·布鲁姆（Kevin Bloom）与全球备受赞誉的保护主义者威廉·劳伦斯（William Laurance）和前线环保主义者Pooven Moodley进行了说法。通过Bio中的链接注册本网络研讨会。","南非","非洲","根據該段文字的描述，對一帶一路的情緒是負面的。文章指出中國的腰帶和道路倡議對發展中國家的生物多樣性和生態系統造成了前所未有的破壞。同時，文章還提到了一個關於非洲的問題，暗示中國的項目在該地區造成了最大的破壞。因此，該文章對一帶一路的情緒是負面的。","是負面的",1
"Daily Maverick",2018-11-30,"https://www.facebook.com/171090380838/posts/10157500511170839","Africa is the continent least responsible but most vulnerable to climate change, which means that Beijing’s ‘Belt and Road Initiative’, the largest development plan of the modern era, could easily send its fragile ecosystems over the edge. Is the Chinese government truthful when it says the BRI is eco-friendly?","非洲是最不負責任但最容易受到氣候變遷影響的大陸，這意味著北京的「一帶一路」倡議這一現代最大的發展計畫很容易使其脆弱的生態系統陷入崩潰。中國政府所說的「一帶一路」是環保的嗎？","南非","非洲","根據該段文字的描述，可以認為對一帶一路的情緒是負面的。文章指出非洲是最不負責任但最容易受到氣候變遷影響的大陸，並暗示中國的一帶一路倡議可能會使其脆弱的生態系統陷入崩潰。同時，文章提出了對中國政府所說的一帶一路是否環保的質疑。因此，該段文字對一帶一路的情緒可以被視為負面的。","是負面的",2
"Earth Touch",2018-05-08,"https://www.facebook.com/121043114614764/posts/1836558623063196","The plan to build a massive hydropower dam in Sumatra as part of China’s immense Belt and Road Initiative threatens the habitat of the rarest ape in the world.","作为中国巨大的腰带和道路倡议的一部分，在苏门答腊建造大型水电坝的计划威胁着世界上最稀有的猿猴的栖息地。","南非","非洲","根據該段文字的描述，可以認為該文章對一帶一路的情緒是負面的。文章指出，在蘇門答臘建造大型水電壩的計劃威脅到世界上最稀有的猿猴的棲息地。這暗示了一帶一路倡議可能對環境造成負面影響，並可能對生態系統和生物多樣性產生破壞性的影響。因此，該文章對一帶一路的情緒是負面的。","是負面的",3
"City Press",2021-06-12,"https://www.facebook.com/126528197364199/posts/4681427631874210","The Group of Seven richest democracies on Saturday sought to counter China’s growing influence by offering developing nations an infrastructure plan that would rival President Xi Jinping’s multi-trillion-dollar Belt and Road initiative. http://ow.ly/4g7Y50F8Wx8:=:https://www.news24.com/citypress/business/g7-rivals-china-with-grand-infrastructure-plan-20210612","周六，七个最富有的民主国家组成的群体试图通过为发展中国家提供一项基础设施计划来反抗中国日益增长的影响力，该计划将与习近平的总统习近平的千万亿美元腰带和道路倡议相媲美。 http://ow.ly/4g7y50f8wx8:=:https://www.news24.com/citypress/business/g7-rivals-china-china-china-with-grand-infrasture-infrasture-infrasture-plan-plan-plan-20210612","南非","非洲","根據提供的文章連結，該文章對一帶一路的情緒是負面的。文章提到七個最富有的民主國家組成的群體試圖反抗中國的影響力，並將其與中國的腰帶和道路倡議相提並論。這暗示了該計劃被視為中國日益增長的影響力的一種反對力量。","是負面的",4
"The China Africa Project",2018-07-01,"https://www.facebook.com/373919412660722/posts/1956204704432177","[BELT AND ROAD] Increasing questions are being asked about the viability of China's Belt and Road Initiative. This could have a serious impact on Africa. https://bit.ly/2IxQ0Zf:=:https://foreignpolicy.com/2018/06/27/the-belt-and-road-bubble-is-starting-to-burst/","[皮带和道路]越来越多的问题就中国的皮带和道路倡议的生存能力。这可能会对非洲产生严重影响。 https://bit.ly/2ixq0zf :=:https://foreignpolicy.com/2018/06/27/the-belt-and-rad-brod-bubble-is-starting-to-burst/","南非","非洲","根據提供的連結，該文章對一帶一路倡議的情緒是負面的。文章指出一帶一路倡議的生存能力可能受到質疑，並可能對非洲產生嚴重影響。","是負面的",5
"Daily Maverick",2021-08-17,"https://www.facebook.com/171090380838/posts/10160345460955839","The People’s Republic of China has launched radical environmental interventions to clean up its own backyard. In Africa, its Belt and Road Initiative has brought some economic development, but was destroying ecosystem immunity with apparent impunity, experts said in an Our Burning Planet webinar. Local activism offered hopeful precedents.","中华人民共和国已经开展了激进的环境干预措施，以清理自己的后院。专家在我们燃烧的星球网络研讨会上说，在非洲，它的腰带和道路倡议带来了一些经济发展，但正在以明显的有罪不罚的破坏生态系统的免疫力。当地的行动主义提供了充满希望的先例。","南非","非洲","根據該段文字的描述，可以認為對一帶一路的情緒是負面的。該段文字指出中國在一帶一路倡議中進行了激進的環境干預措施，並且這些措施對當地生態系統造成了明顯的破壞，但中國並未受到懲罰。同時，該段文字提到當地的行動主義提供了希望的先例，暗示對中國的環境干預行為持有批評的態度。因此，該段文字對一帶一路的情緒可以被視為負面的。","是負面的",6
"The China Africa Project",2018-10-26,"https://www.facebook.com/373919412660722/posts/2145204572198855","[SIERRA LEONE] The cancellation of a $318 million Chinese-funded airport project in Sierra Leona has implications that go beyond West Africa. It is also seen as sending a message about China's Belt and Road Initiative... https://bit.ly/2OMf86p:=:https://economictimes.indiatimes.com/news/international/world-news/africa-cancels-a-bri-project-for-the-first-time/articleshow/66363312.cms","[Sierra Leone]取消了塞拉利昂（Sierra Leona）的3.18亿美元中国资助的机场项目的意义超出了西非。它也被视为传达有关中国的腰带和道路倡议的信息... https://bit.ly/2omf86p :=：https://econonictimes.indiatimes.indiatimes.com/news/international/world-news/world-news/world-news/africa-cancels -a-bri-projection-time/tricticleshow/66363312.cms","南非","非洲","根據提供的文章連結，該文章對一帶一路的情緒是負面的。文章提到塞拉利昂取消了中國資助的機場項目，並將其視為傳達有關中國一帶一路倡議的信息。這暗示著該項目的取消可能對中國的一帶一路倡議產生負面影響，並且可能引發對中國在非洲的投資和影響力的質疑。","是負面的",7
"Times LIVE",2021-06-12,"https://www.facebook.com/136956534616/posts/10160045678129617","The Group of Seven rich nations will announce on Saturday a new global infrastructure plan as a response to China's belt and road initiative, a senior official in US President Joe Biden's administration said.","美国总统乔·拜登（Joe Biden）政府高级官员说，七个富人国家将在周六宣布一项新的全球基础设施计划，以回应中国的腰带和道路倡议。","南非","非洲","根據該文章的內容，可以判斷該文章對一帶一路的情緒是負面的。文章提到美國政府高級官員將宣布一項新的全球基礎設施計劃，以回應中國的一帶一路倡議。這暗示著該計劃是作為對中國倡議的競爭對手出現的，因此可以推斷該文章對一帶一路的情緒是負面的。","是負面的",8
"Salaamedia",2021-07-29,"https://www.facebook.com/532304743603847/posts/273441094586548","Professor and Dean CESD, Institute of Business Management in Karachi, Prof. Shahida Wizarat elaborates on challenges to the Belt and Road Initiative (BRI) in 2020-2021.","卡拉奇商业管理学院教授兼教授，Shahida Wizarat教授在2020  -  2021年阐述了对腰带和道路倡议（BRI）的挑战。","南非","非洲","根據提供的資訊，該文章的內容對一帶一路倡議（BRI）的情緒可能是負面的。由於文章的內容未提供具體細節，無法確定該教授的觀點和論點。然而，提到對一帶一路倡議的挑戰，暗示了可能存在一些問題或困難，這可能導致該文章的情緒偏向負面。","是負面的",9
"The China Africa Project",2019-07-19,"https://www.facebook.com/373919412660722/posts/2592948254091149","[CORRUPTION] Xi Jinping is sending in his anti-corruption heavy hitters, aka the Central Commission for Discipline Inspection, to reign in what many experts believe are staggering levels of corruption and malfeasance in the president's prized #BeltandRoad initiative.","[腐败]习近平正在派遣他的反腐败重型击球手，又名中央纪律检查委员会，以统治许多专家认为，许多专家认为这是总统珍贵的#Beltandroad倡议中令人震惊的腐败和渎职程度。","南非","非洲","根據該段文字的描述，可以判斷該文章對一帶一路的情緒是負面的。該段文字提到了习近平派遣中央纪律检查委员会打擊腐败，並指出一帶一路倡議中存在令人震驚的腐败和渎職程度。這種描述暗示了一帶一路倡議存在腐败問題，給人一種負面的印象。","是負面的",10
